State;Total;Violent;Property;MurderAndManslaughter;Rape;Robbery;AggravateAssault;Burglary;LarcenyTheft;MotorVehicleTheft;Arson;OtherAssaults;ForgeryAndCounterfeiting;Fraud;Embezzlement;StolenProperty;Vandalism;CarryWeapons;Prostitution;SexOffenses;DrugAbuseViolations;Gambling;OffensesAgainstFamilyAndChildren;DrivingUnderTheInfluence;LiquorLaws;Drunkenness;DisorderlyConduct;Vagrancy;AllOtherOffenses;Suspicion;CurfewLawViolations;NumberOfAgencies;EstimatedPopulation
ALABAMA;155266;3772;15640;176;230;688;2678;2183;12691;658;108;17457;1178;6370;163;1496;1878;1084;74;412;8213;47;1022;13191;3697;6140;3192;97;70047;0;96;344;3421075
ALASKA;42084;2462;3940;25;88;264;2085;486;3141;280;33;5220;118;283;96;35;903;420;161;324;2491;10;315;4997;2492;496;1083;16;16191;11;20;35;705910
ARIZONA;286906;8099;38616;315;193;1708;5883;4185;32822;1411;198;24471;1901;2062;213;1145;11026;2701;956;1626;30349;268;2336;36200;24236;3;16653;1368;79591;0;3086;80;5783974
ARKANSAS;114029;3272;11546;67;164;398;2643;2027;9179;286;54;9193;670;2001;44;777;1249;796;269;163;9753;10;85;8616;1950;7168;2755;333;52917;0;462;173;2166546
CALIFORNIA;1357573;109722;152408;1548;1909;18163;88102;51601;86717;12957;1133;84758;6932;8367;1264;16356;24795;28374;11344;11949;241547;497;246;195276;17007;105388;12433;4640;314204;0;10066;691;35923361
COLORADO;210253;5939;23172;120;441;907;4471;2483;19510;971;208;13880;752;1861;112;647;5201;1690;417;841;15294;4;3057;27833;12479;1723;10213;370;83255;29;1484;162;4498950
CONNECTICUT;128670;5413;17101;104;234;1431;3644;2787;13514;646;154;23722;747;1357;174;463;2548;1385;445;574;17092;31;1519;9621;1077;1;14206;30;31132;0;32;95;3402212
DELAWARE;37917;2467;7079;31;86;600;1750;1145;5773;117;44;7672;480;1678;183;448;941;391;27;156;5395;12;187;211;1821;607;2316;876;4865;0;105;53;897934
FLORIDA;1038651;45087;131328;852;1546;9419;33270;28392;96923;5607;406;90096;3562;14989;815;3160;7717;6018;5048;2990;141831;384;;52346;32637;0;0;0;500643;0;0;663;18791299
GEORGIA;340098;13514;50215;410;341;2892;9871;8602;39197;2176;240;32790;5083;7735;419;3592;3765;4208;1414;3910;41312;585;4421;28712;10077;3432;26197;1544;96605;42;526;408;7826626
HAWAII;46875;1378;5197;22;111;375;870;512;4229;426;30;4862;129;403;51;141;694;225;296;263;2078;38;26;5922;1157;0;791;0;23060;0;164;3;1207055
IDAHO;65624;1345;6693;13;104;105;1123;986;5473;183;51;5667;218;440;65;227;1094;502;13;300;6349;0;756;10458;4934;305;2544;11;23241;0;462;99;1466441
ILLINOIS;145657;7565;19083;264;434;2594;4273;2721;13185;3118;59;21421;246;282;1;47;4041;3932;2525;700;42934;3059;377;3966;1256;0;13990;141;19806;0;285;2;2989829
INDIANA;139062;4333;21074;115;109;762;3347;2902;17392;688;92;12163;1069;1441;6;889;1763;1176;203;903;16728;18;1428;17405;10131;10686;4353;100;32330;154;709;158;3819446
IOWA;106800;4058;13988;20;105;273;3660;1871;11615;387;115;10061;465;851;101;179;2751;484;123;210;9031;8;947;11548;7509;11549;6400;13;25917;0;607;186;2674284
KANSAS;79565;2562;7230;43;179;284;2056;1003;5815;339;73;11615;465;1216;167;299;1818;646;185;296;8122;1;232;12969;6354;340;3175;0;21873;0;0;217;1978746
KENTUCKY;148208;3428;16773;113;222;1075;2018;3216;13066;407;84;9553;1452;811;295;1660;991;1012;275;360;18277;15;3630;21148;469;19213;5357;496;42942;0;51;282;3042574
LOUISIANA;142872;9304;22610;163;192;906;8043;3812;18008;688;102;15633;629;1884;159;1279;2301;1750;257;593;19324;61;1092;8143;2176;2406;7229;212;45602;95;133;106;2616792
MAINE;54566;691;8039;19;68;201;403;1493;6209;234;103;6637;319;742;43;211;1522;413;10;285;5933;2;107;6203;4961;35;1924;10;16420;0;59;164;1328361
MARYLAND;251633;11078;29541;271;305;3385;7117;5813;21528;1791;409;27873;1082;1794;275;181;3654;3655;1465;1252;44888;240;2064;18526;6748;1;6544;161;90034;256;321;153;4804436
MASSACHUSETTS;148282;12987;20037;87;383;1850;10667;3934;15199;768;136;22612;676;1422;148;1478;3541;1597;905;657;12086;15;2134;11634;4601;7443;7942;10;36299;54;4;319;6131066
MICHIGAN;275769;13152;35262;187;665;2567;9733;6211;26782;1988;281;30457;764;5152;925;1799;3406;4120;446;1010;34513;118;2774;34882;16732;348;9709;332;78982;0;886;505;9249545
MINNESOTA;180703;;28542;90;;1037;4019;2833;24552;980;177;16873;1179;2721;39;1736;3908;1690;966;1463;17501;19;664;24978;22990;1;13095;554;34547;0;2091;327;5303925
MISSISSIPPI;109802;1973;11921;116;142;612;1103;2525;8970;352;74;11391;662;1662;497;662;1071;959;149;393;11004;126;3480;11005;1858;5200;7081;136;38018;88;466;93;1569211
MISSOURI;289495;10219;40653;145;374;1851;7849;6066;32812;1473;302;29970;1986;2894;230;2847;5387;3294;338;2010;33964;99;4138;29655;10241;553;12951;219;95900;0;1947;379;5574070
MONTANA;25058;760;3719;9;25;54;672;233;3259;198;29;3270;38;153;21;15;801;83;1;66;1494;0;347;3659;3040;0;2830;4;4398;0;359;92;858976
NEBRASKA;83132;2039;10081;60;163;332;1484;863;8782;358;78;8870;497;1425;54;790;2807;870;148;609;10177;10;1386;12488;10526;0;3730;37;16296;0;292;199;1641088
NEVADA;152050;6277;15672;113;143;1576;4445;2521;12513;538;100;16820;880;1545;408;1494;2514;1597;3738;1355;16268;19;1327;13412;8557;228;2634;1686;53453;2;2164;32;2397300
NEW HAMPSHIRE;46438;765;4200;5;63;187;510;587;3507;69;37;6438;211;762;38;663;1284;116;24;162;3915;5;178;4355;4411;3602;1450;52;13790;0;17;149;1144113
NEW JERSEY;351747;12663;33508;254;313;3825;8271;5951;26635;642;280;26206;1681;3798;169;3182;5488;4300;1489;1441;49072;106;13284;26016;6640;0;19974;839;138472;0;3419;513;8598088
NEW MEXICO;110709;4316;12362;86;122;330;3778;1636;10178;384;164;10545;296;613;207;585;1368;708;347;210;8814;37;1351;11307;5189;845;3522;50;47950;77;10;80;1807829
NEW YORK;338474;13833;56095;234;503;3372;9724;8256;45462;2051;326;37980;2742;6487;103;5008;16304;3699;783;3708;62519;147;623;36578;4620;0;14017;868;72360;0;0;528;9600548
NORTH CAROLINA;425700;18611;60533;553;598;3671;13789;15196;43788;1180;369;54262;2064;17435;1473;4543;7407;6727;1145;1504;33170;81;6577;50907;9634;0;13958;279;135390;0;0;292;7886978
NORTH DAKOTA;24900;428;2820;7;39;31;351;232;2449;129;10;1846;77;613;35;143;475;118;5;82;1938;0;113;3945;5072;196;2167;1;4577;0;249;81;605751
